,0,类型,标题,上架时间,编号,信息卡照片,信息卡号,营业执照,经纪备案,房源图片列表,价格,特色标签列表,户型,面积,朝向,经纪人姓名,经纪人联系方式,最短租期,最长租期,所在楼层,总楼层,车位,用电,入住,看房,电梯,用水,燃气,电视,冰箱,洗衣机,空调,热水器,床,暖气,宽带,衣柜,天然气,地址和交通,小区最新成交,房源描述,房源链接
723,1445,整租,FCC中央城 1室1厅 复式,2019-04-03,BJ2226817002126196736,https://ke-image.ljcdn.com/rent-user-avatar/1943d55f-b556-4020-b435-068198701172,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/03c7106f-faff-436b-96a1-8d6cb70e7f87.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/44bddac4-c8e4-45b9-a5dd-f945a78a8d0a.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-user-avatar/b6423bb4-d6c5-45f5-ba08-313172383948.780x439.jpg""]",3500,"[""在线签约"", ""公寓"", ""月租"", ""近地铁"", ""精装"", ""押一付一"", ""双卫生间"", ""随时看房""]",1室1厅2卫,80,东北,,,30,1080,3,21,暂无数据,商电,随时入住,随时可看,暂无数据,商水,无,0,1,1,1,1,1,1,0,0,0,,,"1、房屋介绍：
室内装修安全，房屋干净整洁，空间大，格局合理，洗澡做饭都可以，非常适合居家居住。
2、小区介绍：
FCC中央城小区附近配套齐全，交通便利，出行娱乐都非常方便。
3、总结：
周边租客都是都市青年，邻居素质高…",https://bj.zu.ke.com/zufang/BJ2226817002126196736.html
724,1447,未知,龙华园 2室1厅 5600元,2019-03-17,BJ2214294735181316096,https://ke-image.ljcdn.com/ehr-personnel/20180829141743264YEXYZQK9.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-3299eb76-4a80-4b90-b793-b22ff8c29ce8.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-ab81c1ee-ee44-47bf-8480-5badee22a050.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-942bc08a-d36e-4381-9c9a-92ddc4f947b1.jpg.780x439.jpg""]",5600,"[""近地铁"", ""集中供暖""]",2室1厅1卫,66,南 北,,,暂无数据,暂无数据,中楼层,7,暂无数据,民电,随时入住,暂无数据,无,民水,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2214294735181316096.html
725,1449,整租,双井大复式四居 地铁口 带大露台 拎包入住 跃层,2019-03-17,BJ2214336841497182208,https://ke-image.ljcdn.com/ehr-personnel/20180822182230165HKOHR4AS.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/7db5d9f6-6ccb-4174-bbf1-d5dac4445b4b.png.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/cf2957f1-0cb6-4b14-b070-d5b283f96f98.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/e6659f2c-9708-46d3-b1e2-70f5e6d0eab5.png.780x439.jpg""]",26800,"[""近地铁"", ""精装"", ""集中供暖"", ""双卫生间"", ""随时看房""]",4室2厅2卫,163,南,,,360,720,高楼层,26,暂无数据,民电,随时入住,暂无数据,有,民水,有,0,1,1,1,1,1,1,1,1,1,,,"【房源亮点】 1.此房近旁有地铁十号线双井站，交通方便；
2.近旁有物美超市，富力购物商场，果蔬好，银行；
3.24小时保安，人车分流，出入有门禁，保安看守，小区内有水系，还有假山，风景优美，还有小型广场；
4.本房是小区特殊户型，跃层四居，朝…",https://bj.zu.ke.com/zufang/BJ2214336841497182208.html
726,1451,整租,远洋新天地 2室1厅 LOFT,2019-02-25,BJ2199714794796220416,https://ke-image.ljcdn.com/rent-user-avatar/d95a0f0b-f099-401a-bcd9-e6718008b19d,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/06241ff7-57a9-4c26-9f8d-74284727f90a.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/2aca6407-34b8-4a9f-8025-9cb257096e06.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-user-avatar/b46ef206-65b9-4ff7-9a3f-0c7941e989b7.780x439.jpg""]",4150,"[""在线签约"", ""公寓"", ""月租"", ""近地铁"", ""精装"", ""集中供暖"", ""押一付一"", ""双卫生间"", ""随时看房""]",2室1厅2卫,90,东,,,30,720,2,18,租用车位,商电,随时入住,随时可看,暂无数据,商水,有,0,0,0,1,1,0,1,0,0,0,,,"安心友家品牌公寓：享安心，住友家．安全、放心、友爱、有家。
1、房屋配套：美的空调、史密斯热水器、老板抽烟机 整体采用环保装修材质，生活家木地板、大自然壁纸、Roca卫浴 我们有多种户型供您选择",https://bj.zu.ke.com/zufang/BJ2199714794796220416.html
727,1453,未知,首城国际B区低层南北通透两居，目前是办公用房,2019-03-17,BJ2214472694970728448,https://ke-image.ljcdn.com/ehr-personnel/20181229150425293IAROA2PX.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/19dae00a-f994-4793-a811-9e08d91fecc6.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/dbdde466-bc11-46d3-a75c-04cd3134e495.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/e70affee-6f76-417d-806f-25031ef0fbe5.jpg.780x439.jpg""]",10200,"[""近地铁"", ""集中供暖"", ""随时看房""]",2室1厅1卫,86,南 北,,,暂无数据,暂无数据,低楼层,27,暂无数据,民电,随时入住,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,,,"【房源亮点】 低层南北通透两居，出行方便，主卧朝南，次卧朝北，可观小区花园。
【交通出行】 小区北门口是专10路公交车，小区南门是特3路公交车，地铁有 10号线劲松，双井，14号线，7号线 九龙山站，出行方便快捷
【周边配套】 附近有家乐福超市，富力广场，…",https://bj.zu.ke.com/zufang/BJ2214472694970728448.html
728,1455,整租,农光里近地铁两居室 能配床 有钥匙随时可看,2019-03-18,BJ2214635367276494848,https://ke-image.ljcdn.com/ehr-personnel/20190222152923502QQ3OL3DV.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/833eb72c-1043-461b-a0f0-5c9151f474e3.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/hdic-frame/22fd64d8-6d1f-4b11-aedb-3a9757b80d39.png.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/01f545fe-9129-4e41-a838-29d9e472b6f1.jpg.780x439.jpg""]",6000,"[""近地铁"", ""集中供暖"", ""随时看房""]",2室1厅1卫,61,南 北,,,720,1080,高楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,0,1,1,1,1,0,1,0,1,1,,,"【房源亮点】 所处小区环境绿化率较高，位置好出门便利，购物方便，生活便利。
【出租原因】 本房闲置，业主近几年用不到本房，所以想找个长期租的客户，业主也不在附近工作，可以放心求租。
【周边配套】 周边配套齐全，旁边有农贸市场。超市发超市，还有工商银行，吃饭…",https://bj.zu.ke.com/zufang/BJ2214635367276494848.html
729,1457,整租,南苑北里三区 1室1厅 3200元,2019-03-18,BJ2215068800989274112,https://ke-image.ljcdn.com/ehr-personnel/20180823095212701SYQMJYID.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-001a79fd-b312-4061-821d-815d412cb742.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-1963489c-c26d-48fa-a27e-76bf8e82e727.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-8fb26e7f-b620-4a2f-b8f5-e07487c82332.jpg.780x439.jpg""]",3200,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅1卫,47,南,,,1年以内,1年以内,高楼层,6,暂无数据,民电,随时入住,需提前预约,无,民水,有,1,1,1,1,1,1,0,0,1,1,,,,https://bj.zu.ke.com/zufang/BJ2215068800989274112.html
730,1459,整租,官悦欣园B区 2室1厅,2019-04-04,BJ2227382118344818688,https://ke-image.ljcdn.com/rent-user-avatar/849f9a65-a4ca-484b-9e51-7f8677fa46c0,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/1a0d607e-b0e2-4346-81f5-745138c3da1d.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/1a962b18-1e44-46c6-bbae-b80c307ccf4d.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-user-avatar/de0e1205-cf80-41d6-90ed-623d8f876de4.780x439.jpg""]",7500,"[""在线签约"", ""公寓"", ""近地铁"", ""精装"", ""随时看房""]",2室1厅1卫,98,南,,,1年以上,1年以上,1,22,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,无,0,1,1,1,1,1,1,0,1,1,,,"1、房屋介绍：
房屋装修水准高，楼层好，位置优越，配置齐全。
2、小区介绍：
官悦欣园B区小区附近配套齐全，交通便利，出行娱乐都非常方便。
3、总结：
周边租客都是都市青年，邻居素质高，好相处。欢迎您来电！…",https://bj.zu.ke.com/zufang/BJ2227382118344818688.html
731,1461,未知,朝阳公园正门棕榈泉国际公寓南向自住一居室拎包入住,2019-03-18,BJ2215074848840097792,https://ke-image.ljcdn.com/ehr-personnel/201810101704354038HFV0DCL.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/b23d93cb-e6c6-4ae1-be15-853aa47c1453.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/d8c68267-ea21-473d-9288-5013034f15aa.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/c4e65dbf-adaf-4c8b-8f8c-2e3a4f797efb.jpg.780x439.jpg""]",22000,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅2卫,124,南,,,暂无数据,暂无数据,中楼层,27,暂无数据,民电,随时入住,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,,,"【交通出行】 距离地铁14号线朝阳公园站380米（数据来源于百度地图），距离地铁6号线金台路站1200米（数据来源于百度地图），距离地铁10号线团结湖地铁站1800米。门前有多条公交线路通过
【周边配套】 小区地处燕莎商圈(蓝色港湾）、三里屯商圈（太古里)、国贸商圈（…",https://bj.zu.ke.com/zufang/BJ2215074848840097792.html
732,1463,整租,富力城D区大三居+精装修+高楼层+高品质,2019-03-18,BJ2215091493575081984,https://ke-image.ljcdn.com/ehr-personnel/20190313110757571WKN86BPK.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-038e29eb-2f2e-455f-b95a-f681098a6e0a.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-ea9ca8a3-39c1-46d0-8242-66557d86d5e1.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-ff339bf7-ac93-4bef-be94-9fffe4551470.jpg.780x439.jpg""]",24500,"[""近地铁"", ""精装"", ""集中供暖"", ""双卫生间"", ""随时看房""]",3室2厅2卫,153,南 北,,,720,1080,高楼层,22,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,1,1,1,,,"【房源亮点】 该房源是富力城D区南北通透三居室，双向南卧，享受阳光的呵护，景观三居，直观水系，270°餐厅，用餐同时领略迷人景色
【交通出行】 小区交通方便。出小区西南门向西170米到达地铁七号线广渠门外站可直达北京西站，出小区南门向东余约500米到达地铁十号线双井站…",https://bj.zu.ke.com/zufang/BJ2215091493575081984.html
733,1465,整租,西长安壹号 2室1厅 LOFT,2019-03-24,BJ2219303223699972096,https://ke-image.ljcdn.com/rent-user-avatar/1943d55f-b556-4020-b435-068198701172,,,,"[""https://ke-image.ljcdn.com/rent-user-avatar/184b4bec-fe35-4078-aec7-cb2616a43b8d.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-user-avatar/3b5e845b-45a0-4795-8f50-fc19cbc07978.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-user-avatar/b02eace2-1fe7-4239-bf85-8510328d01a8.780x439.jpg""]",4500,"[""在线签约"", ""公寓"", ""月租"", ""近地铁"", ""精装"", ""押一付一"", ""随时看房""]",2室1厅1卫,90,东南,,,30,1080,5,17,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,1,1,1,1,1,1,1,0,1,0,,,"1、房屋介绍：
室内装修精美，独立居住空间，采光好宽敞明亮。居家温馨，完全满足日常生活需求。
2、小区介绍：
西长安壹号小区附近配套齐全，交通便利，出行娱乐都非常方便。
3、总结：
房屋无中介费，说的再好不如您亲眼见了好…",https://bj.zu.ke.com/zufang/BJ2219303223699972096.html
734,1467,整租,草桥欣园四区 南向2居 拎包入住,2019-03-18,BJ2215100852182990848,https://ke-image.ljcdn.com/ehr-personnel/20190117152924089DRXTJRVZ.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/670b4ee9-789b-4377-9a61-c9a8e186c129.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/c8b79e14-5f61-4daa-9ef5-494c826602b7.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/019bddf8-c601-401a-ac42-47e8fbaeceab.jpg.780x439.jpg""]",6500,"[""近地铁"", ""集中供暖"", ""随时看房""]",2室1厅1卫,80,南,,,暂无数据,暂无数据,中楼层,15,暂无数据,民电,随时入住,需提前预约,有,民水,有,1,1,1,1,1,1,1,0,1,0,,,"【交通出行】 从小区步行可到地铁，距离地铁10号线草桥站约571米（由高德地图测算出），周边有公交车站88路，434路等
【周边配套】 距离本小区约562米（来源高德地图）就是物美超市，购物方便，附近有多家餐厅，银行。
【小区介绍】 草桥欣园四区环境优美，…",https://bj.zu.ke.com/zufang/BJ2215100852182990848.html
735,1469,未知,博雅国际西向一居，装修简洁，环境舒适，随时入住,2019-03-18,BJ2215163158165716992,https://ke-image.ljcdn.com/ehr-personnel/20180823200911479X6XIIQVK.jpg,,,,"[""https://ke-image.ljcdn.com/110000-inspection/2819a113-b8da-4683-92ba-acd0f254920b.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/aaa01131-60cb-4d70-ae46-8a22eee25a26.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/a82be96d-c7e0-4d52-8c07-0bc3f696c8a8.jpg.780x439.jpg""]",9500,"[""近地铁"", ""集中供暖"", ""随时看房""]",1室1厅1卫,85,西,,,暂无数据,暂无数据,中楼层,26,暂无数据,民电,随时入住,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,,,"【户型介绍】 中间楼层，视野开阔无遮挡，下午采光效果很好，客厅与卧室都有阳光摄入，开放式厨房，适合一家人一起烹饪美食。
【交通出行】 小区旁边就是公交站广顺桥南公交站，855路，913路，运通117路，311路，404路，409路，416路，467路，621路，660…",https://bj.zu.ke.com/zufang/BJ2215163158165716992.html
736,1471,未知,上林世家 3室2厅 19000元,2019-03-19,BJ2215716705991131136,https://ke-image.ljcdn.com/ehr-personnel/20180822114530454KHVO2CQ7.png,,,,"[""https://ke-image.ljcdn.com/110000-inspection/prod-2e8dafd6-8896-4881-b018-d428b3b0fe70.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/110000-inspection/prod-afb8a36c-8d84-422f-8377-731aea900405.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/110000-inspection/prod-346ee69a-add3-4f1d-be03-7a222fe748dc.jpg.780x439.jpg""]",19000,"[""近地铁"", ""集中供暖"", ""随时看房""]",3室2厅2卫,156,南 北,,,暂无数据,暂无数据,高楼层,18,暂无数据,民电,随时入住,需提前预约,有,民水,有,0,0,0,0,0,0,0,0,0,0,,,,https://bj.zu.ke.com/zufang/BJ2215716705991131136.html
737,1473,整租,石佛营西里小区 2室1厅,2019-04-01,BJ2225215147625431040,https://ke-image.ljcdn.com/rent-house-1/b583fbf779e82605193782c16a278a6d.jpg,,,,"[""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554991264041/37328978b8f348ee7b7da547503ba5c6.jpg.780x439.jpg"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554991264041/a1d81b7b5c3ab772932f328f2e2ee518.jpg.780x439.jpg"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://s1.ljcdn.com/matrix_pc/dist/pc/src/resource/default/780-439.png?_v=20190417031926d95"", ""https://ke-image.ljcdn.com/rent-house-1/2b659455896a8fbc9fd92302ea46835f-1554991264041/fb9cd90fae4fb418746c21b4aace936c.jpg.780x439.jpg""]",6230,"[""公寓"", ""近地铁"", ""押一付一"", ""随时看房""]",2室1厅1卫,60,南,,,暂无数据,暂无数据,15,18,暂无数据,暂无数据,随时入住,随时可看,暂无数据,暂无数据,暂无数据,0,1,1,1,1,1,0,1,1,0,,,房屋两间卧室都是自如最近装修风格，楼层为15层，视野非常好，旁边乐视及附近上班的白领客户很好的选择。小区南门路对面就是中国建设银行，南门旁边就是佛营西里社区卫生站，取钱买药都很方便；小区东门口有迪亚天天超市和京客隆；小区西门马路对面每天上午有早市，买菜做饭宴请好友；晚上可以去旁边…,https://bj.zu.ke.com/zufang/BJ2225215147625431040.html
